CCN,REPORTDATETIME,SHIFT,OFFENSE,METHOD,LASTMODIFIEDDATE,BLOCKSITEADDRESS,BLOCKXCOORD,BLOCKYCOORD,WARD,ANC,DISTRICT,PSA,NEIGHBORHOODCLUSTER,BUSINESSIMPROVEMENTDISTRICT,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,START_DATE,END_DATE,lat,lon
13008306,1/19/2013 3:23:00 PM,EVENING,ROBBERY,GUN,9/23/2014 8:34:09 AM,BURNS STREET SE AND D STREET SE,404751.14000236,135232.81001093,7,7F,SIXTH,603,32,,007703 2,007703,Precinct 103,1/19/2013 2:20:00 PM,1/19/2013 2:20:00 PM,38.8849210616358,-76.9452395139855
13008411,1/19/2013 7:00:00 PM,EVENING,ASSAULT W/DANGEROUS WEAPON,GUN,9/23/2014 8:34:07 AM,760 - 823 BLOCK OF CHESAPEAKE STREET SE,400497.4747184150,129046.4287571860,8,8E,SEVENTH,706,39,,009700 2,009700,Precinct 125,1/19/2013 6:43:00 PM,1/19/2013 6:45:00 PM,38.8292042074434,-76.994270701495
13008435,1/19/2013 9:00:00 PM,EVENING,ROBBERY,GUN,9/23/2014 8:34:07 AM,1400 - 1499 BLOCK OF JAMES CREEK PARKWAY SW,398774.98,133863.37,6,6D,FIRST,105,9,,011000 1,011000,Precinct 127,1/19/2013 8:13:00 PM,1/19/2013 8:18:00 PM,38.8725965928732,-77.0141168438361
13008458,1/19/2013 10:10:00 PM,EVENING,ROBBERY,GUN,9/23/2014 8:34:09 AM,1000 - 1099 BLOCK OF OTIS PLACE NW,397585,140742,1,1A,FOURTH,409,2,,002900 1,002900,Precinct 42,1/19/2013 9:00:00 PM,1/19/2013 9:06:00 PM,38.934559249133,-77.0278540805525
13008468,1/19/2013 9:11:00 PM,EVENING,ROBBERY,GUN,9/23/2014 8:34:07 AM,4600 - 4899 BLOCK OF B STREET SE,405711,135520,7,7E,SIXTH,604,33,,009906 1,009906,Precinct 104,1/19/2013 9:11:00 PM,1/19/2013 9:11:00 PM,38.8875024668278,-76.9341740174128
13008485,1/19/2013 9:37:00 PM,EVENING,ROBBERY,GUN,9/23/2014 8:34:08 AM,200 - 299 BLOCK OF 8TH STREET SE,400436.8191663580,135441.24095512,6,6B,FIRST,107,26,,006600 1,006600,Precinct 89,1/19/2013 9:35:00 PM,1/19/2013 9:36:00 PM,38.8868114155466,-76.9949651952618
13008492,1/19/2013 10:50:00 PM,EVENING,ROBBERY,GUN,9/23/2014 8:34:09 AM,4500 - 4599 BLOCK OF DOUGLAS STREET NE,405443,138011,7,7D,SIXTH,601,29,,009601 1,009601,Precinct 92,1/19/2013 11:01:00 PM,1/19/2013 11:01:00 PM,38.9099439874688,-76.9372432931932
13008509,1/20/2013 12:55:00 AM,MIDNIGHT,ROBBERY,GUN,9/23/2014 8:34:09 AM,4300 - 4399 BLOCK OF CHAPLIN STREET SE,405142,134951,7,7F,SIXTH,605,33,,009907 2,009907,Precinct 103,1/19/2013 11:37:00 PM,1/20/2013 12:01:00 AM,38.8823802102391,-76.9407366663852
13008597,1/20/2013 3:00:00 AM,MIDNIGHT,ASSAULT W/DANGEROUS WEAPON,GUN,9/23/2014 8:34:09 AM,812 - 899 BLOCK OF BARNABY STREET SE,400709,129315,8,8E,SEVENTH,706,39,,009700 2,009700,Precinct 125,1/20/2013 2:40:00 AM,1/20/2013 2:42:00 AM,38.8316234768162,-76.9918343382658
13008614,1/20/2013 3:15:00 AM,MIDNIGHT,ROBBERY,GUN,9/23/2014 8:34:08 AM,22 - 99 BLOCK OF NEW YORK AVENUE NW,399058,137651,6,6E,FIRST,103,8,,004701 2,004701,Precinct 1,1/20/2013 2:50:00 AM,1/20/2013 2:55:00 AM,38.9067173322956,-77.0108605803838
13008617,1/20/2013 3:57:00 AM,MIDNIGHT,ROBBERY,GUN,9/23/2014 8:34:08 AM,1730 - 1797 BLOCK OF LANIER PLACE NW,396326,139604,1,1C,THIRD,303,1,ADAMS MORGAN,003900 3,003900,Precinct 35,1/20/2013 3:30:00 AM,1/20/2013 3:30:00 AM,38.9243034311484,-77.0423690170017
13008634,1/20/2013 4:17:00 AM,MIDNIGHT,ROBBERY,GUN,9/23/2014 8:34:07 AM,500  - 699 BLOCK OF QUINCY STREET NW,398248,141094,4,4C,FOURTH,407,18,,002400 1,002400,Precinct 49,1/20/2013 4:17:00 AM,1/20/2013 4:17:00 AM,38.9377317422694,-77.0202080829189
13008654,1/20/2013 6:34:00 AM,MIDNIGHT,ROBBERY,GUN,9/23/2014 8:34:09 AM,1396 - 1399 BLOCK OF FLORIDA AVENUE NE,401265,136988,6,6A,FIFTH,506,,,008410 1,008410,Precinct 82,1/20/2013 6:34:00 AM,1/20/2013 6:34:00 AM,38.9007443891965,-76.9854166838164
13008705,1/20/2013 9:34:00 AM,DAY,ASSAULT W/DANGEROUS WEAPON,GUN,9/23/2014 8:34:08 AM,3918 - 3999 BLOCK OF SOUTHERN AVENUE SE,404566,132827,7,7B,SIXTH,606,35,,007603 1,007603,Precinct 110,1/20/2013 9:34:00 AM,1/20/2013 9:34:00 AM,38.8632495489654,-76.947389372634
13008716,1/20/2013 11:43:00 AM,DAY,ROBBERY,GUN,9/23/2014 8:34:09 AM,F STREET NE AND 6TH STREET NE,400134.61999808,136609.17999620,6,6C,FIRST,104,25,,008301 1,008301,Precinct 84,1/20/2013 11:43:00 AM,1/20/2013 11:43:00 AM,38.8973327421317,-76.9984481327275
13008722,1/20/2013 11:44:00 AM,DAY,ROBBERY,GUN,9/23/2014 8:34:07 AM,1300 - 1323 BLOCK OF MORSE STREET NE,401178.27,137160.29,5,5D,FIFTH,506,23,,008802 2,008802,Precinct 77,1/20/2013 11:44:00 AM,1/20/2013 11:44:00 AM,38.9022965593703,-76.9864162388547
